Heure,Opération,Symbole,Type,Direction,Volume,Prix,Ordre,Commission,Echange,Profit,Solde,Commentaire
2018.08.14 21:15:00,3.0,US2000V12018,sell,out,88.41,1690.68,3.0,0,0.0,384.58,100384.58,
2018.08.15 21:15:00,5.0,US2000V12018,buy,out,77.04,1670.59,5.0,0,0.0,516.17,100900.75,
2018.08.16 21:15:00,7.0,US2000V12018,sell,out,72.48,1684.54,7.0,0,0.0,92.77,100993.52,
2018.08.17 21:15:00,9.0,US2000V12018,sell,out,114.63,1691.06,9.0,0,0.0,388.6,101382.12,
2018.08.20 17:32:46,11.0,US2000V12018,buy,out,140.8,1697.92,11.0,0,0.0,-1013.76,100368.36,sl 1697.92
2018.08.21 21:15:00,13.0,US2000V12018,sell,out,74.95,1717.99,13.0,0,0.0,525.4,100893.76,
2018.08.22 21:15:00,15.0,US2000V12018,sell,out,145.17,1720.3,15.0,0,0.0,-251.14,100642.62,
2018.08.23 16:22:00,17.0,US2000V12018,buy,out,333.25,1721.68,17.0,0,0.0,-1053.07,99589.55,sl 1721.54
2018.08.24 21:15:00,19.0,US2000V12018,sell,out,138.89,1723.24,19.0,0,0.0,-216.67,99372.88,
2018.08.27 21:15:00,21.0,US2000V12018,sell,out,103.62,1727.61,21.0,0,0.0,-830.0,98542.88,
2018.08.28 21:15:00,23.0,US2000V12018,buy,out,174.1,1729.95,23.0,0,0.0,-510.11,98032.77,
2018.08.29 16:35:27,25.0,US2000V12018,buy,out,182.89,1730.15,25.0,0,0.0,-1022.36,97010.41,sl 1729.92
2018.08.30 16:16:00,27.0,US2000V12018,buy,out,223.01,1733.42,27.0,0,0.0,-992.39,96018.02,sl 1733.32
2018.08.31 21:15:00,29.0,US2000V12018,sell,out,172.38,1737.03,29.0,0,0.0,737.79,96755.81,
2018.09.04 21:15:00,31.0,US2000V12018,buy,out,78.79,1732.8,31.0,0,0.0,-436.5,96319.31,
2018.09.05 21:15:00,33.0,US2000V12018,buy,out,113.58,1728.65,33.0,0,0.0,-616.74,95702.57,
2018.09.06 16:13:41,35.0,US2000V12018,sell,out,154.35,1725.14,35.0,0,0.0,-984.75,94717.82,sl 1725.32
2018.09.07 21:15:00,37.0,US2000V12018,sell,out,80.81,1710.58,37.0,0,0.0,-532.54,94185.28,
2018.09.10 18:51:32,39.0,US2000V12018,sell,out,91.0,1713.74,39.0,0,0.0,-948.22,93237.06,sl 1713.81
2018.09.11 16:42:36,41.0,US2000V12018,sell,out,128.95,1710.26,41.0,0,0.0,-955.52,92281.54,sl 1710.44
2018.09.12 16:24:27,43.0,US2000V12018,buy,out,105.1,1707.94,43.0,0,0.0,562.29,92843.83,
2018.09.12 21:15:00,44.0,US2000V12018,buy,out,105.1,1715.36,44.0,0,0.0,-217.56,92626.27,
2018.09.13 21:15:00,46.0,US2000V12018,buy,out,112.27,1715.46,46.0,0,0.0,-218.93,92407.34,
2018.09.14 16:16:32,48.0,US2000V12018,buy,out,272.58,1715.98,48.0,0,0.0,-962.21,91445.13,sl 1715.84
2018.09.17 21:15:00,50.0,US2000V12018,buy,out,87.67,1706.06,50.0,0,0.0,437.47,91882.6,
2018.09.18 21:15:00,52.0,US2000V12018,sell,out,103.58,1712.99,52.0,0,0.0,72.51,91955.11,
2018.09.19 17:34:36,54.0,US2000V12018,sell,out,147.83,1709.48,54.0,0,0.0,-928.37,91026.74,sl 1709.54
2018.09.20 21:15:00,56.0,US2000V12018,sell,out,108.23,1718.16,56.0,0,0.0,653.71,91680.45,
2018.09.21 17:08:00,58.0,US2000V12018,buy,out,107.35,1713.19,58.0,0,0.0,568.96,92249.41,
2018.09.21 21:15:00,59.0,US2000V12018,buy,out,107.35,1715.81,59.0,0,0.0,287.7,92537.11,
2018.09.24 17:11:04,61.0,US2000V12018,buy,out,102.59,1700.06,61.0,0,0.0,605.28,93142.39,
2018.09.24 21:15:00,62.0,US2000V12018,buy,out,102.59,1705.5,62.0,0,0.0,47.19,93189.58,
2018.09.25 21:15:00,64.0,US2000V12018,sell,out,142.49,1709.61,64.0,0,0.0,-186.66,93002.92,
2018.09.26 21:15:00,66.0,US2000V12018,buy,out,149.76,1702.8,66.0,0,0.0,152.76,93155.68,
2018.09.27 21:15:00,68.0,US2000V12018,sell,out,151.22,1691.37,68.0,0,0.0,-514.15,92641.53,
2018.09.28 21:15:00,70.0,US2000V12018,sell,out,77.45,1694.26,70.0,0,0.0,-265.65,92375.88,
2018.10.01 21:12:36,72.0,US2000V12018,buy,out,149.23,1678.06,72.0,0,0.0,2801.05,95176.93,tp 1678.26
2018.10.02 16:40:36,74.0,US2000V12018,buy,out,117.5,1664.79,74.0,0,0.0,579.28,95756.21,
2018.10.02 21:03:32,75.0,US2000V12018,buy,out,117.5,1657.38,75.0,0,0.0,1449.95,97206.16,tp 1657.57
2018.10.03 21:15:00,77.0,US2000V12018,sell,out,122.89,1669.44,77.0,0,0.0,761.92,97968.08,
2018.10.05 17:46:27,79.0,US2000V12018,buy,out,177.15,1628.41,79.0,0,0.0,2956.63,100924.71,tp 1628.51
2018.10.08 17:09:04,81.0,US2000V12018,sell,out,132.79,1624.96,81.0,0,0.0,-1009.2,99915.51,sl 1624.96
2018.10.09 18:58:36,83.0,US2000V12018,sell,out,95.24,1624.09,83.0,0,0.0,-1000.02,98915.49,sl 1624.10
2018.10.10 21:08:00,85.0,US2000V12018,buy,out,35.81,1589.83,85.0,0,0.0,596.24,99511.73,
2018.10.10 21:15:00,86.0,US2000V12018,buy,out,35.81,1586.9,86.0,0,0.0,701.16,100212.89,
2018.10.11 17:12:36,88.0,US2000V12018,sell,out,57.82,1563.92,88.0,0,0.0,-1009.54,99203.35,sl 1564.05
2018.10.12 21:15:00,90.0,US2000V12018,buy,out,40.29,1543.15,90.0,0,0.0,-55.2,99148.15,
2018.10.15 16:06:23,92.0,US2000V12018,sell,out,180.26,1542.45,92.0,0,0.0,-1027.48,98120.67,sl 1542.65
2018.10.16 17:59:32,94.0,US2000V12018,sell,out,47.72,1576.49,94.0,0,0.0,593.16,98713.83,
2018.10.16 21:15:00,95.0,US2000V12018,sell,out,47.72,1589.42,95.0,0,0.0,1210.18,99924.01,
2018.10.17 21:15:00,97.0,US2000V12018,buy,out,81.97,1590.35,97.0,0,0.0,-602.48,99321.53,
2018.10.18 21:15:00,99.0,US2000V12018,buy,out,112.99,1558.96,99.0,0,0.0,2258.67,101580.2,
2018.10.19 17:36:18,101.0,US2000V12018,sell,out,77.83,1556.17,101.0,0,0.0,-1018.79,100561.41,sl 1556.21
2018.10.22 16:44:00,103.0,US2000V12018,buy,out,99.17,1547.08,103.0,0,0.0,-1022.44,99538.97,sl 1546.91
2018.10.23 20:51:27,105.0,US2000V12018,buy,out,34.93,1535.99,105.0,0,0.0,-998.65,98540.32,sl 1535.89
2018.10.24 17:29:59,107.0,US2000V12018,buy,out,208.33,1507.16,107.0,0,0.0,2964.54,101504.86,tp 1507.20
2018.10.25 21:15:00,109.0,US2000V12018,sell,out,48.52,1504.04,109.0,0,0.0,670.06,102174.92,
2018.10.26 19:05:32,111.0,US2000V12018,buy,out,35.02,1499.38,111.0,0,0.0,-1021.53,101153.39,sl 1499.38
2018.10.29 17:03:32,113.0,US2000V12018,buy,out,109.71,1502.29,113.0,0,0.0,622.06,101775.45,
2018.10.29 17:22:36,114.0,US2000V12018,buy,out,109.71,1494.01,114.0,0,0.0,1530.45,103305.9,tp 1494.13
2018.10.30 21:30:30,116.0,US2000V12018,sell,out,78.14,1505.67,116.0,0,0.0,769.68,104075.58,
2018.10.31 21:30:30,118.0,US2000V12018,buy,out,198.61,1512.47,118.0,0,0.0,1539.23,105614.81,
2018.11.01 18:27:36,120.0,US2000V12018,sell,out,68.58,1542.26,120.0,0,0.0,660.43,106275.24,
2018.11.01 21:30:30,121.0,US2000V12018,sell,out,68.58,1544.04,121.0,0,0.0,782.5,107057.74,
2018.11.02 16:26:23,123.0,US2000V12018,sell,out,100.42,1539.99,123.0,0,0.0,-1082.53,105975.21,sl 1540.11
2018.11.05 21:15:00,125.0,US2000V12018,buy,out,130.35,1550.91,125.0,0,0.0,-666.09,105309.12,
2018.11.06 18:42:32,127.0,US2000V12018,sell,out,89.85,1556.52,127.0,0,0.0,641.53,105950.65,
2018.11.06 21:15:00,128.0,US2000V12018,sell,out,89.85,1550.37,128.0,0,0.0,88.95,106039.6,
2018.11.07 21:15:00,130.0,US2000V12018,sell,out,62.89,1578.79,130.0,0,0.0,427.02,106466.62,
2018.11.08 20:32:36,132.0,US2000V12018,sell,out,134.93,1574.71,132.0,0,0.0,-1095.63,105370.99,sl 1574.94
2018.11.09 21:15:00,134.0,US2000V12018,buy,out,67.67,1549.52,134.0,0,0.0,720.01,106091.0,
2018.11.12 21:15:00,136.0,US2000V12018,buy,out,78.41,1530.39,136.0,0,0.0,307.37,106398.37,
2018.11.13 20:14:27,138.0,US2000V12018,sell,out,74.14,1518.7,138.0,0,0.0,-1082.44,105315.93,sl 1518.95
2018.11.14 21:15:00,140.0,US2000V12018,buy,out,63.06,1514.31,140.0,0,0.0,-138.73,105177.2,
2018.11.15 17:16:13,142.0,US2000V12018,buy,out,104.96,1501.55,142.0,0,0.0,-1055.9,104121.3,sl 1501.51
2018.11.16 17:52:36,144.0,US2000V12018,sell,out,67.17,1510.15,144.0,0,0.0,-1047.85,103073.45,sl 1510.25
2018.11.19 17:47:32,146.0,US2000V12018,buy,out,53.57,1505.45,146.0,0,0.0,620.88,103694.33,
2018.11.19 21:15:00,147.0,US2000V12018,buy,out,53.57,1503.56,147.0,0,0.0,722.12,104416.45,
2018.11.20 21:15:00,149.0,US2000V12018,buy,out,41.06,1468.4,149.0,0,0.0,59.13,104475.58,
2018.11.21 21:15:00,151.0,US2000V12018,sell,out,71.16,1491.75,151.0,0,0.0,619.09,105094.67,
2018.11.26 15:44:36,153.0,US2000V12018,sell,out,43.32,1502.52,153.0,0,-60.79,635.94,105669.82,
2018.11.26 21:15:00,154.0,US2000V12018,sell,out,43.32,1501.82,154.0,0,-60.78,605.61,106214.65,
2018.11.27 21:15:00,156.0,US2000V12018,sell,out,60.21,1490.83,156.0,0,-21.12,-906.16,105287.37,
